experimentID,condition,region,histogram_kind,time_interval,delta_time,start_time,end_time,minimal_pixel_num,N,log10(N),mean,median,10th_pctl,25th_pctl,90th_pctl,75th_pctl,95th_pctl
9,control,in_SF,distances_R,P5_P7,2.0,5.0,7.0,5000.0,223698.0,5.349662101249751,1607.0051073358934,1606.8077490935696,1433.0628009504117,1522.9722923549239,1777.482679038419,1696.9931564306864,1836.3480888500667
14,control,in_SF,distances_R,P5_P8,3.0,5.0,8.0,5000.0,27598.0,4.4408776103102925,1838.414251852448,1816.3103039497864,1581.9534612638804,1698.1980786637337,2100.927938306551,1939.8872075905751,2246.854023724133
15,control,in_SF,distances_R,P5_P8,3.0,5.0,8.0,5000.0,49446.0,4.694131164523868,1782.5564524174356,1757.00802378131,1573.7469724818418,1665.1988259203033,1990.6192744130187,1875.6732430290842,2131.4614797726736
16,control,in_SF,distances_R,P5_P8,3.0,5.0,8.0,5000.0,23164.0,4.364813556261336,1505.1876866858543,1500.6605272307554,1315.7373394915744,1379.4568119711416,1716.4399912773017,1626.6651696594058,1731.5984344373278
18,control,in_SF,distances_R,P5_P8,3.0,5.0,8.0,5000.0,8125.0,3.909823369650912,1635.0514770586615,1591.6586149833759,1292.0798638952247,1349.969846523742,2097.3611926065805,1857.3095991882556,2144.1145681740654
21,control,in_SF,distances_R,P5_P9,4.0,5.0,9.0,5000.0,33768.0,4.528505339146352,1869.478079411412,1869.7699182114175,1595.9664992048308,1745.1972335723601,2136.0760889314874,2007.6060487649017,2203.0280700373432
22,control,in_SF,distances_R,P5_P9,4.0,5.0,9.0,5000.0,73434.0,4.865897185168377,1840.172783160577,1861.8830409512973,1567.9454105562834,1666.9392631143992,2118.215432985009,1989.9141701616159,2181.733571488501
23,control,in_SF,distances_R,P5_P9,4.0,5.0,9.0,5000.0,25494.0,4.406437981473158,1650.3768709171131,1671.7030248715555,1330.0368602322667,1521.9429447722432,1911.1308438242654,1797.2376598781827,1979.1419886007163
24,control,in_SF,distances_R,P5_P9,4.0,5.0,9.0,5000.0,14829.0,4.171111865180439,2082.690399770648,2123.0642497808867,1758.1433405580738,1968.412125679653,2330.016749900127,2232.219863382484,2375.455548779772
35,control,in_SF,distances_R,P8_P9,1.0,8.0,9.0,5000.0,14725.0,4.168055303459139,1722.8257463965251,1714.9326610550388,1548.9855587712993,1611.7349563998155,1933.8572363654941,1821.0621631708486,1977.9299809766335
38,control,in_SF,distances_R,P8_P9,1.0,8.0,9.0,5000.0,8009.0,3.9035782936630543,1705.910172358387,1707.5803579436329,1474.799096085722,1528.8463541921294,1946.657987196308,1834.52662313455,2006.8182824910082
39,control,in_SF,distances_R,P5_P9,4.0,5.0,9.0,5000.0,922396.0,5.9649174109587,1770.320756188138,1777.7578739309279,1569.9219692394693,1667.500867987333,1951.4318290417996,1877.6131164542603,1987.1504181150103
40,control,in_SF,distances_R,P5_P9,4.0,5.0,9.0,5000.0,1074869.0,6.031355537699169,1723.780361015799,1738.6046194804042,1418.617325956537,1577.1259877486023,1989.505719969524,1886.0298997346172,2046.1737742518033
41,control,in_SF,distances_R,P5_P9,4.0,5.0,9.0,5000.0,784725.0,5.8947174887110485,1836.4398437969162,1840.338817816372,1597.8022748817427,1710.4210477772742,2054.690735274103,1972.3703561129464,2098.549886424739
42,control,in_SF,distances_R,P5_P9,4.0,5.0,9.0,5000.0,963474.0,5.983839999418161,1840.0142059550126,1860.4730961491969,1557.4034688339298,1697.6111469105037,2088.0512374313953,1995.8433512250188,2135.345722856459
43,control,in_SF,distances_R,P5_P9,4.0,5.0,9.0,5000.0,226221.0,5.354532917834332,1600.6640997837137,1605.8787161834616,1252.9508403317989,1397.88012,1918.1400388239679,1807.2662366245577,1964.6398099738087
44,control,in_SF,distances_R,P5_P9,4.0,5.0,9.0,5000.0,264361.0,5.422197386009939,1879.4806847339162,1884.4809382858248,1663.7815056740446,1776.7333592029647,2069.611683255659,1989.7773636758823,2110.240059110261
87,control,in_SF,distances_R,P5_P6,1.0,5.0,6.0,5000.0,72879.0,4.862602404888906,1053.7819730949664,1042.371758516013,852.9819796846737,954.5947222182723,1238.8427305421674,1128.0488025760856,1321.3602328019315
